ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
-0.1919,160,4096,33.3300,35.0207,33.3300,32.1992,50.5900,51.1635,50.5900,50.2864,50.5400,50.5884,50.5400,50.1940
0.3538,180,4096,34.3400,36.1164,34.3400,33.3702,49.6100,50.7420,49.6100,49.4525,50.1400,50.5650,50.1400,49.9845
-0.6069,200,4096,34.8200,36.8245,34.8200,33.7222,51.4600,51.5589,51.4600,51.0546,50.7800,50.9350,50.7800,50.6108
-0.9945,220,4096,36.6100,37.7966,36.6100,35.5654,51.9800,52.5186,51.9800,51.8267,51.0300,51.4618,51.0300,50.8054
-1.2824,240,4096,37.7100,39.4323,37.7100,36.8534,51.7800,52.3325,51.7800,51.4899,50.6700,50.6356,50.6700,50.2771
-0.6321,260,4096,38.6700,40.3163,38.6700,37.8589,51.6600,52.0968,51.6600,51.4147,51.0700,51.3000,51.0700,50.8632
-1.2463,280,4096,39.5600,41.7487,39.5600,38.5487,51.6200,51.9647,51.6200,51.3546,50.5700,50.3156,50.5700,50.1185
-1.2161,300,4096,39.9100,41.8776,39.9100,38.9530,52.2400,52.4183,52.2400,51.9079,51.0000,51.1728,51.0000,50.7688
-1.4917,320,4096,41.4300,43.2198,41.4300,40.7738,52.4700,52.6128,52.4700,52.1694,51.0200,50.9923,51.0200,50.7231
-1.0712,340,4096,43.5600,44.2043,43.5600,42.7447,52.6200,52.4380,52.6200,52.1599,51.4700,51.4112,51.4700,51.2017
-1.1569,360,4096,42.6200,44.2783,42.6200,41.9415,52.7500,52.5923,52.7500,52.3302,51.5400,51.4937,51.5400,51.2214
-1.2959,380,4096,43.1200,44.0681,43.1200,42.2425,52.7800,52.6977,52.7800,52.4012,51.4500,51.3963,51.4500,51.1791
-1.2478,400,4096,42.6800,43.6961,42.6800,41.5008,52.4600,52.5239,52.4600,52.0990,51.2200,51.2234,51.2200,50.8885
